OAKB;Khwaja Rawash, Kabul, Afghanistan
KETS;Municipal, Enterprise, United States of America
KEUG;Mahlon Sweet Field, Eugene, United States of America
KEVA;Landing Strip, Evadale, United States of America
KEVB;New Smyrna Beach, , United States of America
KEVV;Evansville Regional Airport, Evansville, United States of America
KEVV;Dress Regional, Evansville, United States of America
KEVW;Evanston-Uinta County Burns Field, Evanston, United States of America
KEWB;w Bedford Regional Airport, New Bedford, United States of America
KEWK;City-County, Newton, United States of America
KEWN;Craven County Regional Airport, New Bern, United States of America
KEWN;Simmons Nott, New Bern, United States of America
KEWR;Newark Liberty International Airport, Newark, United States of America
KEXI;SPB, Excursion Inlet, United States of America
KEYW;Key West International Airport, Key West, United States of America
KFAF;Feiker AAF, Fort Eustis, United States of America
KFAL;Falcon State, Roma, United States of America
KFAM;Regional Airport, Farmington, United States of America
KFAR;Hector International Airport, Fargo, United States of America
KFAT;Fresno Air Terminal, Fresno, United States of America
KFAY;Fayetteville Regional Airport, Fayetteville, United States of America
KFAY;Municipal, Fayetteville, United States of America
KFBG;Simmons AAF, Fort Bragg, United States of America
KFBK;Ft Wainwright, Fairbanks, United States of America
KFBL;Municipal, Faribault, United States of America
KFBY;Municipal, Fairbury, United States of America
KFCA;Glacier National Park International Airport, Kalispell, United States of America
KFCH;Fresno-Chandier, Fresno, United States of America
KFCM;Flying Cloud Airport, Minneapolis, United States of America
KFCS;Butts AAF, Colorado Springs, United States of America
KFCT;Firing Center AAF, Yakima, United States of America
KFCY;Municipal, Forrest City, United States of America
KFDK;Municipal, Frederick, United States of America
KFDR;Frederick Municipal Airport, Frederick, United States of America
KFEP;Albertus, Freeport, United States of America
KFET;Fremont Municipal Airport, Fremont, United States of America
KFEW;Warren AFB, Cheyenne, United States of America
KFFA;First Flight, Kill Devil Hills, United States of America
KFFL;Municipal Airport, Fairfieid, United States of America
KFFO;Wright-Patterson AFB, Dayton, United States of America
KFFT;Capital City Airport, Frankfort, United States of America
KFHR;Friday Harbor, Friday Harbor Airport, Friday Harbor, United States of America
KFHU;Libby AAF, Fort Huachuca, United States of America
KFHU;Municipal, Sierra Vista, United States of America
KFID;Elizabeth Field, Fishers Island, United States of America
KFIL;Municipal, Filimore, United States of America
KFKL;Chess-Lambertin, Franklin, United States of America
KFKN;Municipal, Franklin, United States of America
KFKN;J B Rose, Franklin, United States of America
KFLD;Fond Du Lac County Airport, Fond Du Lac, United States of America
KFLE;Fort Lee AAF, Petersburg, United States of America
KFLG;Flagstaff Pulliam Field, Flagstaff, United States of America
KFLL;Fort Lauderdale / Hollywood International Airport, Fort Lauderdale, United States of America
KFLO;Florence Regional Airport, Florence, United States of America
KFLU;Fiushing, New York, United States of America
KFLV;Sherman AAF, Fort Leavenworth, United States of America
KFLX;Municipal, Fallon, United States of America
KFME;Tipton AAF, Fort Meade, United States of America
KFMH;Otis AFB, Falmouth, United States of America
KFMN;Four Corners Regional Airport, Farmington, United States of America
KFMS;Municipal, Fort Madison, United States of America
KFMY;Page Field, Fort Myers, United States of America
KFNL;Municipal Airport, Fort Collins/Loveland, United States of America
KFNR;SPB, Funter Bay, United States of America
KFNT;Bishop International Airport, Flint, United States of America
KFOE;Forbes AFB, Topeka, United States of America
KFOK;The Gabreski Airport, Westhampton Beach, United States of America
KFOK;Suffolk County, Westhampton, United States of America
KFOP;Morris AAF, Forest Park, United States of America
KFPR;St Lucie County International Airport, Fort Pierce, United States of America
KFPY;Perry-Foley, Perry, United States of America
KFRD;Friday Harbor Airport, Friday Harbor, United States of America
KFRG;Republic Airport, Farmingdale, United States of America
KFRG;Republic Field, Farmingdaie, United States of America
KFRH;Municipal, French Lick, United States of America
KFRI;Marshall AAF, Fort Riley, United States of America
KFRR;Warren County, Front Royal, United States of America
KFSD;Regional (Jo Foss Field), Sioux Falls, United States of America
KFSI;Henry Post AAF, Fort Sill, United States of America
KFSK;Municipal, Forl Scott, United States of America
KFSM;Fort Smith Regional Airport, Fort Smith, United States of America
KFSM;Municipal, Fort Smith, United States of America
KFSN;Haley AAF, Fort Sheridan, United States of America
KFST;Fort Stockton-Pecos County Airport, Fort Stockton, United States of America
KFTK;Godman AAF, Fort Knox, United States of America
KFTW;Meacham Field, Fort Worth, United States of America
KFTY;Fulton County Airport-Brown Field, Atlanta, United States of America
KFUL;Fullerton Municipal Airport, Fullerton, United States of America
KFWA;Fort Wayne International Airport, Fort Wayne, United States of America
KFWH;Carswell AFEI, Forl Worth, United States of America
KFXE;Fort Lauderdale Executive Airport, Fort Lauderdale, United States of America
KFXY;Municipal, Forest City, United States of America
KFYM;Municipal, Fayetteville, United States of America
KFYV;Municipal (Drake Field), Fayetteville, United States of America
KGAD;Municipal, Gadsden, United States of America
KGAG;Gage Airport, Gage, United States of America
KGAI;Montgomery County, Gaithersburg, United States of America
KGBO;Baltimore Greenbelt T, Baltimore, United States of America
KGCC;Gillette-Campbell County Airport, Gillette, United States of America
KGCK;Garden City Regional Airport, Garden City, United States of America
KGCK;Municipal Airport, Garden City, United States of America
KGCN;Grand Canyon National Park Airport, Grand Canyon, United States of America
KGCY;Municipal, Greenville, United States of America
KGDC;Donaldson Center, Greenville, United States of America
KGDH;SPB, Golden Horn, United States of America
KGDM;Municipal, Gardner, United States of America
KGDO;Vare Maria, Guasdualito, United States of America
KGDV;Dawson Community, Glendive, United States of America
KGED;Sussex County Airport, Georgetown, United States of America
KGEG;Spokane International Airport, Spokane, United States of America
KGEY;South Big Horn County, Greybull, United States of America
KGFA;Malmstrom AFB, Great Fails, United States of America
KGFD;Pope Field, Greenfeid, United States of America
KGFL;Warren County, Glens Falls, United States of America
KGGG;Gregg County, Longview, United States of America
KGGW;International, Glasgow, United States of America
KGHM;Municipal, Centerville, United States of America
KGIF;Gillbert Field, Winter Haven, United States of America
KGJT;Walker Field, Grand Junction, United States of America
KGLD;Renner Field, Goodiand, United States of America
KGLE;Municipal, Gainesvilie, United States of America
KGLR;Otsego County, Gayiord, United States of America
KGLS;Scholes Field, Galveston, United States of America
KGLW;Municipal, Glasgow, United States of America
KGMU;Downtown, Greenville, United States of America
KGMV;Monument Valley, Monument Valley Gldngs, United States of America
KGNT;Milan, Grants, United States of America
KGNV;J R Alison Municipal, Gainesville, United States of America
KGOF;Goodfellow AFB, San Angelo, United States of America
KGOL;State, Gold Beach, United States of America
KGON;Groton-New London, Groton, United States of America
KGPT;Biloxi Regional, Gulfport, United States of America
KGRB;Austin-Straubel Field, Green Bay, United States of America
KGRE;Municipal, Greenville, United States of America
KGRF;Gray AAF, Tacoma, United States of America
KGRK;Gray AAF, Killeen, United States of America
KGRM;Devils Track, Grand Marais, United States of America
KGRR;Kent County International Airport, Grand Rapids, United States of America
KGSB;Seymour Johnson AFB, Goldsboro, United States of America
KGSH;Goshen Municipal Airport, Goshen, United States of America
KGSO;Piedmont Triad International Airport, Greensboro High Point, United States of America
KGSP;Greenville-Spartanbur, Greer, United States of America
KGSP;Greenville-Spartanbur, Greenville, United States of America
KGST;Gustavus Arpt, Gustavus, United States of America
KGTF;International, Great Fails, United States of America
KGTG;Municipal, Grantsburg, United States of America
KGTR;Golden Triangle Reg., Columbus, United States of America
KGUF;Edwards, Gulf Shores, United States of America
KGUN;Gunter AFB, Montgomery, United States of America
KGUP;Senator Clark, Gallup, United States of America
KGUS;Grissom AFB, Peru, United States of America
KGVE;Municipal, Gordonsville, United States of America
KGVL;Lee Gilmer Memorial, Gainesville, United States of America
KGVT;Majors Field, Greenville, United States of America
KGVW;Richards-Gebaur, Grandview, United States of America
KGWO;Leflore, Greenwood, United States of America
KGXY;Weld County, Greeley, United States of America
KGYR;Litchfield, Goodyear, United States of America
KGYY;Gary Regional, Chicago, United States of America
KHAB;Marion County, Hamilton, United States of America
KHAI;Dr Haines, Three Rivers, United States of America
KHAR;Harrisburg Skylport, Harrisburg, United States of America
KHAX;Hatbox Field, Muskogee, United States of America
KHBB;Industrial Airpark, Hobbs, United States of America
KHBG;Bobby L. Chain Mun., Hattiesburg, United States of America
KHBO;Municipal, Humboldt, United States of America
KHCA;Howard County, Big Spring, United States of America
KHCC;Columbia County, Hudson, United States of America
KHDE;Brewster Field, Holdrege, United States of America
KHDN;Yampa Valley, Hayden, United States of America
KHEE;Thompson-Robbins, Helena, United States of America
KHES;State, Hermiston, United States of America
KHEY;Hanchey Army Heliport, Ozark, United States of America
KHEZ;Hardy-Anders, Natchez, United States of America
KHFD;Brainard, Hartford, United States of America
KHFF;Mackall AAF, Hoffrnan, United States of America
KHGR;Wash. County Regional, Hagerstown, United States of America
KHGT;Hunter AAF, Jolon, United States of America
KHHI;Wheeler AFB, Wahiawa, United States of America
KHIB;Chisholm, Hibbing, United States of America
KHIE;Regional, Whitefield, United States of America
KHII;Municipal, Lake Havasu City, United States of America
KHIK;Hickam AFB, Honolulu, United States of America
KHIO;Portland, Hillstooc, United States of America
KHIP;Hill AFB, Ogden, United States of America
KHKA;Municipal, Blytheville, United States of America
KHKS;Hawkins Field, Jackson, United States of America
KHLB;Hillenbrand, Batesville, United States of America
KHLG;Ohio County, Wheeling, United States of America
KHLM;Park TownsH/P, Holland, United States of America
KHLR;Fort Hood AAF, Kilteen, United States of America
KHMN;Holloman AFB, Alamogordo, United States of America
KHMT;Ryan Field, Hemet, United States of America
KHNB;Municipal, Huntingburg, United States of America
KHNE;Tahneta Pass, lahneta Pass Lodge, United States of America
KHNL;International, Honolulu, United States of America
KHNS;Municipal, Haines, United States of America
KHOB;Lea County, Hobbs, United States of America
KHON;Howes, Huron, United States of America
KHOP;Campbell AAF, Hopkinsville, United States of America
KHOT;Memorial Field, Hot Springs, United States of America
KHOU;Hobby, Houston, United States of America
KHPN;Westchester County Apt, Westchester County, United States of America
KHPN;Westchester County Airport, White Plains, United States of America
KHPT;Municipal, Hampton, United States of America
KHPV;Princeville, Kauai Island, United States of America
KHQM;Bowerman, Hoquiam, United States of America
KHRL;Valley International, Harlingen, United States of America
KHRO;Boone County, Harrison, United States of America
KHSB;Raleigh, Harrisburg, United States of America
KHSH;Henclerson Sky Harbor, Las Vegas, United States of America
KHSP;Ingalls Field, Hot Springs, United States of America
KHST;AFB, Homestead, United States of America
KHSV;Madison County, Huntsviile, United States of America
KHTL;Roscommon County, Houghton, United States of America
KHTS;Tri-State/Milton, Huntington, United States of America
KHTW;Huntington County, Chesapeake, United States of America
KHUA;Redstone AAF, Huntsville, United States of America
KHUF;Hulman Field, Terre Haute, United States of America
KHUL;International, Houlton, United States of America
KHUM;Terrebonne, Houma, United States of America
KHUS;Municipal, Hughes, United States of America
KHVE;Intermediate, Hanksville, United States of America
KHVR;City County, Havre, United States of America
KHVS;Municipal, Hartsville, United States of America
KHWD;Air Terminal, Hayward, United States of America
KHWI;SPB, Hawk Inlet, United States of America
KHWO;North Perry, Hollywood, United States of America
KHYA;Barnstable, Hyannis, United States of America
KHYG;SPB, Hydaburg, United States of America
KHYL;SPB, Hollis, United States of America
KHYR;Municipal, Hayward, United States of America
KHYS;Municipal, Hays, United States of America
KIAB;Mcconnell AFB, Wichita, United States of America
KIAD;Dulles International Airport, Washington, United States of America
KIAG;Niagara Falls International Airport, Niagara Falls, United States of America
KIAH;George Bush Intercntl., Houston, United States of America
KIAN;Bob Barker Memorial, Kiana, United States of America
KICL;Municipal, Clarincla, United States of America
KICT;Wichita Mid-Continent Airport, Wichita, United States of America
KIDA;Fanning Field, Idaho Falls, United States of America
KIDG;Municipal, Ida Grove, United States of America
KIFP;Laughlin Bullhead Intl, Bullhead City, United States of America
KIJX;Municipal, Jacksonville, United States of America
KIKB;Wilkes County, Wilkesboro, United States of America
KIKK;Greater Kankakee, Kankakee, United States of America
KIKO;Nikolski AFS, Nikolski, United States of America
KILE;Municipal, Killeen, United States of America
KILG;Greater Wilmington, Wilmington, United States of America
KILM;New Hanover County, Wilmington, United States of America
KILN;Clinton Field, Wilmington, United States of America
KIMT;Ford, Iron Mountain, United States of America
KIND;Indianapolis International Airport, Indianapolis, United States of America
KINL;Falls Intl, International Falls, United States of America
KINR;Kincheloe AFIS, Sault Ste Marie, United States of America
KINS;At Aux, Indian Springs, United States of America
KINT;Smith-Reynolds, Winston Salem, United States of America
KIPL;Imperial County, EI Centro, United States of America
KIPL;imperial County, Imperial, United States of America
KIPT;Lycorning County, Williamsport, United States of America
KIRB;Municipal, Iraan, United States of America
KIRC;Circle City, Circle, United States of America
KIRK;Municipal, Kirksvite, United States of America
KIRS;Kirsch Municipal, Sturgis, United States of America
KISM;Municipal, Kissimmee, United States of America
KISN;Sloulin Field Intl, Williston, United States of America
KISO;Stallings Field, Kinston, United States of America
KISP;Long Island Macarthur, Islip, United States of America
KISQ;Schoolcrah County, Manistique, United States of America
KISW;Alexander Pield, Wisconsin Rapids, United States of America
KITH;Tompkins County, Ithaca, United States of America
KIWD;Gogebic County, Ironwood, United States of America
KIWS;West Houston, Houston, United States of America
KIYK;Kern County, Inyokern, United States of America
KJAC;Jackson Hole, Jackson, United States of America
KJAE;Technology Park, Atlanta, United States of America
KJAJ;Perimeter Mall, Atlanta, United States of America
KJAN;Jackson Intl, Jackson, United States of America
KJAO;Beaver Ruin, Atlanta, United States of America
KJAS;County, Jasper, United States of America
KJAX;International, Jacksonville, United States of America
KJBC;Boston City Heliport, Boston, United States of America
KJBP;Commerce Bus. Plaza, Los Angeles, United States of America
KJBS;Hacienda Bus-Park H/P, Pleasanton, United States of America
KJBT;City Landing, Bethel, United States of America
KJCC;China Basin Heliport, San Francisco, United States of America
KJCE;Convention Center H/P, Calkland, United States of America
KJCI;Johnson Industrial, Kansas City, United States of America
KJCT;Kimble County, Junction, United States of America
KJCX;Citicorp Plaza H/P, Los Angeles, United States of America
KJDM;Downtown Heliport, Miami, United States of America
KJDT;Downtown Heliport, Minneapolis, United States of America
KJDX;Central Bus. District, Houston, United States of America
KJDY;Heliport, Downey, United States of America
KJEF;Memorial, Jefferson City, United States of America
KJEM;Heliport, Emeryville, United States of America
KJFK;John F Kennedy Intl, New York, United States of America
KJFN;Ashtabula, Jefferson, United States of America
KJGC;Heliport, Grand Canyon, United States of America
KJGL;Galleria, Atlanta, United States of America
KJGP;Greenway Plaza H/P, Houston, United States of America
KJGQ;Transco Twir Galleria, Houston, United States of America
KJGX;Heliport, Glendale, United States of America
KJHC;Island Heliport, Garden City, United States of America
KJHY;Hyatt Regency H/P, Cambridge, United States of America
KJI0;Intl Heliport, Ontario, United States of America
KJID;City Of Industry H/P, Los Angeles, United States of America
KJLA;Quartz Creek, Cooper Lodge, United States of America
KJLB;Heliport, Long Beach, United States of America
KJLH;US Army Heliport, Arlington Heights, United States of America
KJLX;Union Station H/P, Los Angeles, United States of America
KJMA;Marriot Astrodome, Houston, United States of America
KJMC;Marin County, Sausalito, United States of America
KJMD;Market Centre H/P, Dallas, United States of America
KJMH;Marrioft Heliport, Schaumburg, United States of America
KJMN;Municipal Heliport, Mankato, United States of America
KJNH;North Park Inn H/P, Dallas, United States of America
KJNP;Heliport, Newport Beach, United States of America
KJOB;Downtown Heliport, Dallas, United States of America
KJOC;Centerport Heliport, Santa Ana, United States of America
KJOR;The City Heliport, Orange, United States of America
KJOT;Municipal, Joliet, United States of America
KJPD;Heliport, Pasadena, United States of America
KJPN;Pentagon Army, Washington, United States of America
KJPT;Park Ten Heliport, Houston, United States of America
KJRA;West 30th St Heliport, New York, United States of America
KJRB;Downtown Manhattan H/P, New York, United States of America
KJRC;Municipal Heliport, Rochester, United States of America
KJRD;Heliport, Riverside, United States of America
KJRE;East 60th Street H/P, New York, United States of America
KJSD;Sikorsky Heliport, Stratford, United States of America
KJSG;San Rafael H/P, San Rafael, United States of America
KJSK;Municipal Heliport, Saint Cloud, United States of America
KJSL;Steel Pier H/Pt, Atlantic City, United States of America
KJSN;Sherman Oaks H/P, Los Angeles, United States of America
KJST;Cambria County, Johnstown, United States of America
KJTO;Heliport, Thousand Oaks, United States of America
KJUC;Universal City H/P, Los Angeles, United States of America
KJUP;Cable Heliport, Upland, United States of America
KJVI;Kupper, Manville, United States of America
KJVL;Rock County, Janesville, United States of America
KJWC;Warner Cntr Bus. Plaza, Los Angeles, United States of America
KJWH;Westchase Hilton H/P, Houston, United States of America
KJWL;Woodlawns, Houston, United States of America
KJXN;Reynolds Municipal, Jackson, United States of America
KKAE;SPB, Kake, United States of America
KKBE;Hot Springs SPB, Bell Island, United States of America
KKBW;Chignik Bay, Chignik, United States of America
KKCC;Coffi-nan Cove SPB, Coffman Cove, United States of America
KKCG;Fisheries, Chignik, United States of America
KKCK;Fairfax Municipal, Kansas City, United States of America
KKCL;Lacicion, Chignik, United States of America
KKCN;SPB, Chernofski, United States of America
KKDK;Municipal, Kodiak, United States of America
KKIB;SPB, lvanof Bay, United States of America
KKIC;Mesa Del Rey, King City, United States of America
KKIP;Kickapoo, Wichita Falls, United States of America
KKKB;SPB, Kitoi Bay, United States of America
KKKI;SPB, Akiachak, United States of America
KKKK;Kalakalket AFS, Kalakaket, United States of America
KKKL;Karluk Lake SPB, Karluk Lake, United States of America
KKLG;Municipal, Kalskag, United States of America
KKLN;Larsen SPB, Larsen Bay, United States of America
KKLS;Longview, Kelso, United States of America
KKMO;Manolkotak SPB, Manolkotak, United States of America
KKNT;Municipal, Kennett, United States of America
KKOY;Olga Bay SPB, Olga Bay, United States of America
KKOZ;Oizinkie SPB, Ouzinke, United States of America
KKPB;Point Baker SPB, Point Baker, United States of America
KKPH;Pauloff Harbor SPB, Pauloff Harbor, United States of America
KKPK;Parks SPE, Parks, United States of America
KKPN;Pauloff Harbor SPB, Kipnulk, United States of America
KKPR;Pon Willianns SPB, Port Williams, United States of America
KKPV;Perryvilie SPB, Perryville, United States of America
KKPY;Port Bailey SPB, Port Bailey, United States of America
KKSR;Federal No 1, Sanoy River, United States of America
KKTH;SPB, Tikchik, United States of America
KKTS;Brevig Mission, Teller Mission, United States of America
KKWF;Waterfall SPS, Waterfall, United States of America
KKWN;Kwinhagak, Quinhagak, United States of America
KKWP;Village SPB, West Point, United States of America
KKXA;Kasaan SPB, Kasaan, United States of America
KKYL;Port Largo, Key Largo, United States of America
KKYO;Topp Of Tampa, Tampa, United States of America
KKZB;Zachar Bay SPB, Zachar Bay, United States of America
KLAA;Lamar Field, Lamar, United States of America
KLAF;Purdue University, Lafayette, United States of America
KLAL;Municipal, Lakeland, United States of America
KLAN;Capital City, Lansing, United States of America
KLAR;General Brees Field, Laramie, United States of America
KLAS;Mccarran Intl, Las Vegas, United States of America
KLAW;Municipal, Lawton, United States of America
KLAX;International, Los Angeles, United States of America
KLBB;Preston Smith International, Lubbock, United States of America
KLBE;Westmoreland County, Latrobe, United States of America
KLBF;Lee Bird Field, North Platte, United States of America
KLBL;Municipal, Liberal, United States of America
KLCH;Municipal, Lake Charles, United States of America
KLCI;Municipal, Laconia, United States of America
KLCK;Rickenbacker, Columbus, United States of America
KLDM;Mason County, Ludington, United States of America
KLEB;Regional, Lebanon, United States of America
KLEW;Auburn, Lewiston/Auburn, United States of America
KLEX;Blue Grass, Lexington, United States of America
KLFI;Langley AFB, Hampton, United States of America
KLFK;Lufkin Angelina County, Nacogdoches, United States of America
KLFN;Franklin, Louisburg, United States of America
KLFT;Lalayette Regional, Lafayette, United States of America
KLFT;Lafayette Regional, New Iberia, United States of America
KLGA;La Guardia, New York, United States of America
KLGB;Long Beach Municipal, Long Beach, United States of America
KLGC;Calloway, La Grange, United States of America
KLGF;Laguna AAF, Yuma, United States of America
KLGU;Cache, Logan, United States of America
KLHB;Lost Harbor Sea Port, Lost Harbor, United States of America
KLHV;W T Piper Memorial, Lock Haven, United States of America
KLIC;Municipal, Limon, United States of America
KLIH;Lihue, Kauai Island, United States of America
KLIT;Regional Airport, Little Rock, United States of America
KLIY;Wright AAF, Hinesville, United States of America
KLIZ;Lonno AFB, Limestone, United States of America
KLJC;Intercontinental, Louisville, United States of America
KLJN;Brazoria County, Lake Jackson, United States of America
KLKE;Lake Union SPB, Seattle, United States of America
KLKI;Lakeside USAF, Duluth, United States of America
KLKV;Lake County, Lakeview, United States of America
KLLY;Burlington County, Mount Holly, United States of America
KLMS;Winston County, Louisville, United States of America
KLMT;Kingsley Field, Klamath Falls, United States of America
KLNA;Palm Beach County, West Palm Beach, United States of America
KLND;Hunt Field, Lander, United States of America
KLNI;Dew Station, Lonely, United States of America
KLNK;Municipal, Lincoln, United States of America
KLNN;Lost Nation, Willoughipy, United States of America
KLNR;Tri County, Lone Rock, United States of America
KLOL;Derby Field, Lovelock, United States of America
KLOR;Lowe Army Heliport, Ozark, United States of America
KLOT;Lewis Lockport, Lockport, United States of America
KLOU;Bowman Field, Louisville, United States of America
KLOZ;Corbin-London, London, United States of America
KLPC;Lompoc Airport, Lompoe, United States of America
KLPO;Municipal, Laporte, United States of America
KLRD;International, Laredo, United States of America
KLRF;Little Rock AFB, Jacksonville, United States of America
KLRJ;Municipal, Lemars, United States of America
KLRK;Coast Guard, Lincoln Rock, United States of America
KLRN;Larson AFB, Moses Lake, United States of America
KLRO;Sharpe AAF, Lathrop, United States of America
KLRU;Municipal, Las Cruces, United States of America
KLSD;Creech AAF, Lexington, United States of America
KLSE;Municipal, La Crosse, United States of America
KLSF;Lawson AAF, Fort Benning, United States of America
KLSF;Lawson AAF, Columbus, United States of America
KLSV;Nellis AFB, Las Vegas, United States of America
KLTS;Altus AFB, Altus, United States of America
KLTW;St Marys County, Leonardtown, United States of America
KLUF;Luke AFB, Phoenix, United States of America
KLUK;Municipal, Cincinnati, United States of America
KLUL;Hester-Noble Field, Laurel, United States of America
KLVM;Mission Field, Livingiston, United States of America
KLWB;Greenbrier Valley, Lewisburg, United States of America
KLWL;Harriet Field, Wells, United States of America
KLWS;Nez Perce County Rgnl, Lewiston, United States of America
KLWT;Municipal, Lewistown, United States of America
KLWV;Municipal, Lawreneeville, United States of America
KLYH;Preston-Glenn Field, Lynchburg, United States of America
KLYO;Rice County Municipal, Lyons, United States of America
KMAC;Smart, Macon, United States of America
KMAF;Odessa Regional, Midland, United States of America
KMBL;Blacker, Manistee, United States of America
KMBS;Tri City, Saginaw, United States of America
KMCB;Pike County, Mccomb, United States of America
KMCC;Mcclellan AFB, Sacramento, United States of America
KMCE;Merced Municipal Arpt, Merced, United States of America
KMCF;Mac Dill AFB, Tampa, United States of America
KMCI;International, Kansas City, United States of America
KMCN;Lewis B Wilson, Macon, United States of America
KMCO;Orlando International Airport, Orlando, United States of America
KMDA;Martindale AAF, San Antonio, United States of America
KMDD;Airpark, Midland, United States of America
KMDH;Southern Illinois, Carbondale, United States of America
KMDJ;City-county, Madras, United States of America
KMDN;Jetferson Proving Cird, Madison Island, United States of America
KMDT;Harrisburg Intl, Harrisburg, United States of America
KMDW;Midway, Chicago, United States of America
KMEI;Key Field, Meridian, United States of America
KMEM;Memphis International Airport, Memphis, United States of America
KMEO;Dare County Regional, Manteo, United States of America
KMER;Castle AFB, Merced, United States of America
KMEV;Douglas County, Minden, United States of America
KMFD;Lahm Municipal, Mansfield, United States of America
KMFE;Miller International, Mcallen, United States of America
KMFI;Municipal, Marshfield, United States of America
KMFR;Jackson County, Medford, United States of America
KMFV;Accomack County, Melfa, United States of America
KMGC;Michigan City Arpt, Michigan City, United States of America
KMGE;Dobbins AFB, Marietta, United States of America
KMGI;Matagorda AFB, Matagorda Island, United States of America
KMGJ;Orange County, Montgomery, United States of America
KMGM;Dannelly Fld, Montgomery, United States of America
KMGR;Thornasville, Moultrie, United States of America
KMGY;Montgomery Co, Dayton, United States of America
KMHE;Municipal, Mitchell, United States of America
KMHK;Municipal, Manhattan, United States of America
KMHL;Memorial Municipal, Marshall, United States of America
KMHM;Intermediate, Minchumina, United States of America
KMHR;Mather AFB, Sacramento, United States of America
KMHS;Rep, Mount Shasta, United States of America
KMHT;Municipal, Manchester, United States of America
KMHV;Kern County, Mojave, United States of America
KMIA;Miami International Airport, Miami, United States of America
KMIB;Minot AFB, Minot, United States of America
KMIC;Crystal, Minneapolis, United States of America
KMIE;Delaware County, Muncie, United States of America
KMIF;Roy Hurd Memorial, Monahans, United States of America
KMIQ;Millard, Omaha, United States of America
KMIT;Kern County, Shatter, United States of America
KMIW;Municipal, Marshalitown, United States of America
KMJX;Robert J Miller, Toms River, United States of America
KMKC;Downtown, Kansas City, United States of America
KMKE;General Mitchell, Milwaukee, United States of America
KMKF;Mckenna AAF, Columbus, United States of America
KMKG;Muskegon County Airport, Muskegon, United States of America
KMKK;Molokai, Hoolehua, United States of America
KMKL;Mckellar, Jackson, United States of America
KMKO;Davis Field, Muskociee, United States of America
KMKT;Municipal, Mankato, United States of America
KMLB;Melbourne International, Melbourne, United States of America
KMLI;Quad-City, Moline, United States of America
KMLJ;Baldwin County, Milledgeville, United States of America
KMLS;Municipal, Milles City, United States of America
KMLU;Municipal, Monroe, United States of America
KMMI;McMinn County, Athens, United States of America
KMML;Muncipal-Ryan Field, Marshall, United States of America
KMMN;Minute Man Airfield, Stow, United States of America
KMMR;Camp MayDry AHP, Austin, United States of America
KMMS;Selts, Marks, United States of America
KMMT;Me Entire ANG Base, Columbia, United States of America
KMMU;Municipal, Morristown, United States of America
KMNN;Municipal, Marion, United States of America
KMOB;Mobile Municipal Arpt, Mobile, United States of America
KMOB;Municipal, Macomb, United States of America
KMOD;Municipal, Modesto, United States of America
KMOP;Municipal, Mount Pleasant, United States of America
KMOR;Moore-Murrell, Morristown, United States of America
KMOS;Intermediate, Moses Point, United States of America
KMOT;International, Minot, United States of America
KMOX;Municipal, Morris, United States of America
KMPB;SPB, Miami, United States of America
KMPE;Griswold, Madison, United States of America
KMPJ;Petit Jean Park, Morrilton, United States of America
KMPV;Edward F Knapp State, Montpelier, United States of America
KMPZ;Municipal, Mt Pleasant, United States of America
KMQT;Marquette County Arpt, Marquette, United States of America
KMQW;Telfair-Wheeler, Mc Rae, United States of America
KMRC;Maury County, Columbia, United States of America
KMRF;Municipal, Marfa, United States of America
KMRN;Lenoir, Morganton, United States of America
KMRY;Monterey Peninsula, Monterey, United States of America
KMSC;Falcon Field, Mesa, United States of America
KMSN;Dane County Regional, Madison, United States of America
KMSO;Johnson-Bell Field, Missoula, United States of America
KMSP;St Paul Intl, Minneapolis, United States of America
KMSS;Richards Field, Massena, United States of America
KMSV;Sullivan County Intl, Monticello, United States of America
KMSY;New Orleans Orleans International Airport, New Orleans, United States of America
KMTC;Selfridge ANGS, Mt Clemens, United States of America
KMTH;Marathon Flight Strip, Marathon, United States of America
KMTJ;Montrose County, Montrose, United States of America
KMTM;SPB, Metlakatia, United States of America
KMTN;Glenn L Martin, Baltimore, United States of America
KMTO;Coles County Memorial, Mattoon, United States of America
KMTP;Sky Portal, Montauk, United States of America
KMTW;Municipal, Manitowoc, United States of America
KMTX;Metro Field, Fairbanks, United States of America
KMUI;Muir AAF, Fort Indiantown, United States of America
KMUL;Spence, Moultrie, United States of America
KMUO;AFB, Mountain Home, United States of America
KMUV;Mustin Alf, Philadelphia, United States of America
KMVC;Monroe County, Monroeville, United States of America
KMVE;Municipal, Montevideo, United States of America
KMVL;Morrisville-Stowe, Stowe, United States of America
KMVM;Monument Valley, Kayenta, United States of America
KMVN;Mt Vernon-Outland, Mt Vernon, United States of America
KMVW;Skagit Regional, Mount Vernon, United States of America
KMWA;Williamson County, Marion, United States of America
KMWC;Lawrence J Timmerman, Milwaukee, United States of America
KMWH;Grant County, Moses Lake, United States of America
KMWL;Mineral Wells Arpt, Mineral Wells, United States of America
KMWM;Municipal, Windom, United States of America
KMWO;Hook Field, Middletown, United States of America
KMXA;Municipal, Manila, United States of America
KMXC;San Juan County, Monticello, United States of America
KMXF;Maxwell AFB, Montgomery, United States of America
KMXO;Municipal, Monticello, United States of America
KMYF;Montgomery Field, San Diego, United States of America
